"","lexeme","neutral_binary","mean_freq_left","mean_freq_right"
"1","anchor",0,0.809698078682525,0.450819672131148
"2","anchor",1,53.5956084172004,34.7540983606557
"3","businessperson",0,7.24611161939616,9.18032786885246
"4","businessperson",1,0.40256175663312,0.327868852459016
"5","camera operator",0,2.16376944190302,1.4344262295082
"6","camera operator",1,0.164684354986276,0
"7","congressperson",0,54.7941445562672,140.450819672131
"8","congressperson",1,0.30192131747484,0.163934426229508
"9","craftsperson",0,0.224153705397987,0.040983606557377
"10","craftsperson",1,0.0091491308325709,0
"11","crewmember",0,0.15096065873742,0.040983606557377
"12","crewmember",1,0.237877401646844,0
"13","firefighter",0,0.992680695333943,0.737704918032787
"14","firefighter",1,5.52607502287283,1.72131147540984
"15","flight attendant",0,0.686184812442818,0.532786885245902
"16","flight attendant",1,2.37877401646844,1.80327868852459
"17","foreperson",0,5.70448307410796,0.778688524590164
"18","foreperson",1,0.5032021957914,0.40983606557377
"19","layperson",0,0.521500457456542,0.450819672131148
"20","layperson",1,0.347666971637694,0.163934426229508
"21","meteorologist",0,0.475754803293687,0.163934426229508
"22","meteorologist",1,4.05306495882891,3.11475409836066
"23","police officer",0,4.06678865507777,1.5983606557377
"24","police officer",1,25.8096980786825,19.7540983606557
"25","salesperson",0,4.13998170173833,0.860655737704918
"26","salesperson",1,1.2900274473925,0.163934426229508
"27","stunt double",0,0.169258920402562,0
"28","stunt double",1,0.155535224153705,0.0819672131147541
