Query,Time,Value,Unit
"text=""heir"" AND channel=""CNN""",2010-02-01,1,seconds
"text=""heir"" AND channel=""CNN""",2010-03-01,1,seconds
"text=""heir"" AND channel=""CNN""",2010-04-01,4,seconds
"text=""heir"" AND channel=""CNN""",2010-05-01,2,seconds
"text=""heir"" AND channel=""CNN""",2010-06-01,5,seconds
"text=""heir"" AND channel=""CNN""",2010-07-01,1,seconds
"text=""heir"" AND channel=""CNN""",2010-08-01,31,seconds
"text=""heir"" AND channel=""CNN""",2010-09-01,7,seconds
"text=""heir"" AND channel=""CNN""",2010-10-01,48,seconds
"text=""heir"" AND channel=""CNN""",2010-11-01,19,seconds
"text=""heir"" AND channel=""CNN""",2010-12-01,12,seconds
"text=""heir"" AND channel=""CNN""",2011-01-01,12,seconds
"text=""heir"" AND channel=""CNN""",2011-02-01,19,seconds
"text=""heir"" AND channel=""CNN""",2011-03-01,8,seconds
"text=""heir"" AND channel=""CNN""",2011-04-01,37,seconds
"text=""heir"" AND channel=""CNN""",2011-05-01,20,seconds
"text=""heir"" AND channel=""CNN""",2011-06-01,7,seconds
"text=""heir"" AND channel=""CNN""",2011-07-01,21,seconds
"text=""heir"" AND channel=""CNN""",2011-08-01,18,seconds
"text=""heir"" AND channel=""CNN""",2011-09-01,14,seconds
"text=""heir"" AND channel=""CNN""",2011-10-01,39.251000000000005,seconds
"text=""heir"" AND channel=""CNN""",2011-11-01,15,seconds
"text=""heir"" AND channel=""CNN""",2011-12-01,43,seconds
"text=""heir"" AND channel=""CNN""",2012-01-01,27,seconds
"text=""heir"" AND channel=""CNN""",2012-02-01,21,seconds
"text=""heir"" AND channel=""CNN""",2012-03-01,4,seconds
"text=""heir"" AND channel=""CNN""",2012-04-01,9,seconds
"text=""heir"" AND channel=""CNN""",2012-05-01,9,seconds
"text=""heir"" AND channel=""CNN""",2012-06-01,25.594,seconds
"text=""heir"" AND channel=""CNN""",2012-07-01,7,seconds
"text=""heir"" AND channel=""CNN""",2012-08-01,4,seconds
"text=""heir"" AND channel=""CNN""",2012-09-01,8,seconds
"text=""heir"" AND channel=""CNN""",2012-10-01,2,seconds
"text=""heir"" AND channel=""CNN""",2012-11-01,4,seconds
"text=""heir"" AND channel=""CNN""",2012-12-01,28,seconds
"text=""heir"" AND channel=""CNN""",2013-01-01,3,seconds
"text=""heir"" AND channel=""CNN""",2013-02-01,6,seconds
"text=""heir"" AND channel=""CNN""",2013-03-01,6,seconds
"text=""heir"" AND channel=""CNN""",2013-04-01,13,seconds
"text=""heir"" AND channel=""CNN""",2013-05-01,2,seconds
"text=""heir"" AND channel=""CNN""",2013-06-01,8,seconds
"text=""heir"" AND channel=""CNN""",2013-07-01,182.53599999999997,seconds
"text=""heir"" AND channel=""CNN""",2013-08-01,21,seconds
"text=""heir"" AND channel=""CNN""",2013-09-01,3,seconds
"text=""heir"" AND channel=""CNN""",2013-10-01,8,seconds
"text=""heir"" AND channel=""CNN""",2013-11-01,7,seconds
"text=""heir"" AND channel=""CNN""",2013-12-01,14,seconds
"text=""heir"" AND channel=""CNN""",2014-01-01,4,seconds
"text=""heir"" AND channel=""CNN""",2014-02-01,17,seconds
"text=""heir"" AND channel=""CNN""",2014-03-01,4,seconds
"text=""heir"" AND channel=""CNN""",2014-04-01,10,seconds
"text=""heir"" AND channel=""CNN""",2014-05-01,11,seconds
"text=""heir"" AND channel=""CNN""",2014-06-01,10,seconds
"text=""heir"" AND channel=""CNN""",2014-07-01,15,seconds
"text=""heir"" AND channel=""CNN""",2014-08-01,4,seconds
"text=""heir"" AND channel=""CNN""",2014-09-01,10,seconds
"text=""heir"" AND channel=""CNN""",2014-10-01,3,seconds
"text=""heir"" AND channel=""CNN""",2014-11-01,3,seconds
"text=""heir"" AND channel=""CNN""",2014-12-01,5,seconds
"text=""heir"" AND channel=""CNN""",2015-01-01,14,seconds
"text=""heir"" AND channel=""CNN""",2015-02-01,10,seconds
"text=""heir"" AND channel=""CNN""",2015-03-01,89,seconds
"text=""heir"" AND channel=""CNN""",2015-04-01,18,seconds
"text=""heir"" AND channel=""CNN""",2015-05-01,10,seconds
"text=""heir"" AND channel=""CNN""",2015-06-01,7,seconds
"text=""heir"" AND channel=""CNN""",2015-07-01,5,seconds
"text=""heir"" AND channel=""CNN""",2015-08-01,10,seconds
"text=""heir"" AND channel=""CNN""",2015-09-01,10,seconds
"text=""heir"" AND channel=""CNN""",2015-10-01,15,seconds
"text=""heir"" AND channel=""CNN""",2015-11-01,1,seconds
"text=""heir"" AND channel=""CNN""",2015-12-01,7,seconds
"text=""heir"" AND channel=""CNN""",2016-01-01,13,seconds
"text=""heir"" AND channel=""CNN""",2016-02-01,16,seconds
"text=""heir"" AND channel=""CNN""",2016-03-01,7,seconds
"text=""heir"" AND channel=""CNN""",2016-04-01,8,seconds
"text=""heir"" AND channel=""CNN""",2016-05-01,17.65,seconds
"text=""heir"" AND channel=""CNN""",2016-06-01,4,seconds
"text=""heir"" AND channel=""CNN""",2016-07-01,6,seconds
"text=""heir"" AND channel=""CNN""",2016-08-01,6,seconds
"text=""heir"" AND channel=""CNN""",2016-09-01,5,seconds
"text=""heir"" AND channel=""CNN""",2016-10-01,6,seconds
"text=""heir"" AND channel=""CNN""",2016-12-01,12,seconds
"text=""heir"" AND channel=""CNN""",2017-01-01,6,seconds
"text=""heir"" AND channel=""CNN""",2017-02-01,9,seconds
"text=""heir"" AND channel=""CNN""",2017-03-01,3,seconds
"text=""heir"" AND channel=""CNN""",2017-04-01,7,seconds
"text=""heir"" AND channel=""CNN""",2017-05-01,3,seconds
"text=""heir"" AND channel=""CNN""",2017-06-01,2,seconds
"text=""heir"" AND channel=""CNN""",2017-07-01,6,seconds
"text=""heir"" AND channel=""CNN""",2017-08-01,6,seconds
"text=""heir"" AND channel=""CNN""",2017-09-01,3,seconds
"text=""heir"" AND channel=""CNN""",2017-10-01,5,seconds
"text=""heir"" AND channel=""CNN""",2017-11-01,6,seconds
"text=""heir"" AND channel=""CNN""",2017-12-01,5,seconds
"text=""heir"" AND channel=""CNN""",2018-01-01,6,seconds
"text=""heir"" AND channel=""CNN""",2018-02-01,12,seconds
"text=""heir"" AND channel=""CNN""",2018-03-01,37,seconds
"text=""heir"" AND channel=""CNN""",2018-04-01,5,seconds
"text=""heir"" AND channel=""CNN""",2018-05-01,32,seconds
"text=""heir"" AND channel=""CNN""",2018-06-01,9,seconds
"text=""heir"" AND channel=""CNN""",2018-07-01,6,seconds
"text=""heir"" AND channel=""CNN""",2018-08-01,14,seconds
"text=""heir"" AND channel=""CNN""",2018-09-01,6,seconds
