Query,Time,Value,Unit
"text=""villain"" AND channel=""CNN""",1/1/2016,98.941,seconds
"text=""villain"" AND channel=""CNN""",1/1/2017,138,seconds
"text=""villain"" AND channel=""CNN""",1/1/2018,246.754,seconds
"text=""villain"" AND channel=""CNN""",1/1/2019,219.749,seconds
"text=""villain"" AND channel=""CNN""",1/1/2020,43.921,seconds
"text=""villain"" AND channel=""CNN""",1/1/2021,89,seconds
"text=""villain"" AND channel=""FOX""",1/1/2010,168.476,seconds
"text=""villain"" AND channel=""FOX""",1/1/2011,140,seconds
"text=""villain"" AND channel=""FOX""",1/1/2012,187.604,seconds
"text=""villain"" AND channel=""FOX""",1/1/2013,248.102,seconds
"text=""villain"" AND channel=""FOX""",1/1/2014,219.677,seconds
"text=""villain"" AND channel=""FOX""",1/1/2015,239.722,seconds
"text=""villain"" AND channel=""FOX""",1/1/2016,197.329,seconds
"text=""villain"" AND channel=""FOX""",1/1/2017,252.435,seconds
"text=""villain"" AND channel=""FOX""",1/1/2018,199.301,seconds
"text=""villain"" AND channel=""FOX""",1/1/2019,480.072,seconds
"text=""villain"" AND channel=""FOX""",1/1/2020,169.276,seconds
"text=""villain"" AND channel=""FOX""",1/1/2021,206.145,seconds
"text=""villainess"" AND channel=""CNN""",1/1/2010,2,seconds
"text=""villainess"" AND channel=""CNN""",1/1/2011,3,seconds
"text=""villainess"" AND channel=""CNN""",1/1/2014,2,seconds
"text=""villainess"" AND channel=""CNN""",1/1/2012,0,seconds
"text=""villainess"" AND channel=""CNN""",1/1/2013,0,seconds
"text=""villainess"" AND channel=""CNN""",1/1/2015,0,seconds
"text=""villainess"" AND channel=""FOX""",1/1/2016,1,seconds
"text=""villainess"" AND channel=""FOX""",1/1/2019,1,seconds
"text=""villainess"" AND channel=""FOX""",1/1/2015,0,seconds
"text=""villainess"" AND channel=""FOX""",1/1/2017,0,seconds
"text=""villainess"" AND channel=""FOX""",1/1/2018,0,seconds
"text=""villainess"" AND channel=""FOX""",1/1/2020,0,seconds
