Query,Time,Value,Unit
"text=""actor"" AND channel=""CNN""",12/1/2016,129.91,seconds
"text=""actor"" AND channel=""CNN""",1/1/2017,95.716,seconds
"text=""actor"" AND channel=""CNN""",2/1/2017,115,seconds
"text=""actor"" AND channel=""CNN""",3/1/2017,35,seconds
"text=""actor"" AND channel=""CNN""",4/1/2017,62,seconds
"text=""actor"" AND channel=""CNN""",5/1/2017,46,seconds
"text=""actor"" AND channel=""CNN""",6/1/2017,99.493,seconds
"text=""actor"" AND channel=""CNN""",7/1/2017,114.98,seconds
"text=""actor"" AND channel=""CNN""",8/1/2017,61.694,seconds
"text=""actor"" AND channel=""CNN""",9/1/2017,61.89,seconds
"text=""actor"" AND channel=""CNN""",10/1/2017,55.879,seconds
"text=""actor"" AND channel=""CNN""",11/1/2017,117.386,seconds
"text=""actor"" AND channel=""CNN""",12/1/2017,90.801,seconds
"text=""actor"" AND channel=""CNN""",1/1/2018,101.262,seconds
"text=""actor"" AND channel=""CNN""",2/1/2018,109.791,seconds
"text=""actor"" AND channel=""CNN""",3/1/2018,142.837,seconds
"text=""actor"" AND channel=""CNN""",4/1/2018,83.204,seconds
"text=""actor"" AND channel=""CNN""",5/1/2018,79,seconds
"text=""actor"" AND channel=""CNN""",6/1/2018,67.662,seconds
"text=""actor"" AND channel=""CNN""",7/1/2018,114,seconds
"text=""actor"" AND channel=""CNN""",8/1/2018,116.795,seconds
"text=""actor"" AND channel=""CNN""",9/1/2018,84,seconds
"text=""actor"" AND channel=""CNN""",10/1/2018,64.704,seconds
"text=""actor"" AND channel=""CNN""",11/1/2018,55.589,seconds
"text=""actor"" AND channel=""CNN""",12/1/2018,96.636,seconds
"text=""actor"" AND channel=""CNN""",1/1/2019,150.248,seconds
"text=""actor"" AND channel=""CNN""",2/1/2019,410.594,seconds
"text=""actor"" AND channel=""CNN""",3/1/2019,229.582,seconds
"text=""actor"" AND channel=""CNN""",4/1/2019,78.509,seconds
"text=""actor"" AND channel=""CNN""",5/1/2019,89.745,seconds
"text=""actor"" AND channel=""CNN""",6/1/2019,136.93,seconds
"text=""actor"" AND channel=""CNN""",7/1/2019,188.617,seconds
"text=""actor"" AND channel=""CNN""",8/1/2019,139.972,seconds
"text=""actor"" AND channel=""CNN""",9/1/2019,114.962,seconds
"text=""actor"" AND channel=""CNN""",10/1/2019,37.799,seconds
"text=""actor"" AND channel=""CNN""",11/1/2019,44,seconds
"text=""actor"" AND channel=""CNN""",12/1/2019,152.231,seconds
"text=""actor"" AND channel=""CNN""",1/1/2020,162.458,seconds
"text=""actor"" AND channel=""CNN""",2/1/2020,131,seconds
"text=""actor"" AND channel=""CNN""",3/1/2020,41,seconds
"text=""actor"" AND channel=""CNN""",4/1/2020,54,seconds
"text=""actor"" AND channel=""CNN""",5/1/2020,34,seconds
"text=""actor"" AND channel=""CNN""",6/1/2020,37.339,seconds
"text=""actor"" AND channel=""CNN""",7/1/2020,54,seconds
"text=""actor"" AND channel=""CNN""",8/1/2020,79.991,seconds
"text=""actor"" AND channel=""CNN""",9/1/2020,36.717,seconds
"text=""actor"" AND channel=""CNN""",10/1/2020,46,seconds
"text=""actor"" AND channel=""CNN""",11/1/2020,54,seconds
"text=""actor"" AND channel=""CNN""",12/1/2020,76,seconds
"text=""actor"" AND channel=""CNN""",1/1/2021,43.586,seconds
"text=""actor"" AND channel=""CNN""",2/1/2021,47,seconds
"text=""actor"" AND channel=""CNN""",3/1/2021,50,seconds
"text=""actor"" AND channel=""CNN""",4/1/2021,53,seconds
"text=""actor"" AND channel=""CNN""",5/1/2021,84,seconds
"text=""actor"" AND channel=""CNN""",6/1/2021,58.896,seconds
"text=""actor"" AND channel=""CNN""",7/1/2021,71.008,seconds
"text=""actor"" AND channel=""CNN""",8/1/2021,35.662,seconds
"text=""actor"" AND channel=""CNN""",9/1/2021,67.721,seconds
"text=""actor"" AND channel=""FOX""",1/1/2010,103.316,seconds
"text=""actor"" AND channel=""FOX""",2/1/2010,68.068,seconds
"text=""actor"" AND channel=""FOX""",3/1/2010,135.975,seconds
"text=""actor"" AND channel=""FOX""",4/1/2010,104,seconds
"text=""actor"" AND channel=""FOX""",5/1/2010,43.991,seconds
"text=""actor"" AND channel=""FOX""",6/1/2010,58,seconds
"text=""actor"" AND channel=""FOX""",7/1/2010,124,seconds
"text=""actor"" AND channel=""FOX""",8/1/2010,93,seconds
"text=""actor"" AND channel=""FOX""",9/1/2010,87.395,seconds
"text=""actor"" AND channel=""FOX""",10/1/2010,87,seconds
"text=""actor"" AND channel=""FOX""",11/1/2010,90.81,seconds
"text=""actor"" AND channel=""FOX""",12/1/2010,154.978,seconds
"text=""actor"" AND channel=""FOX""",1/1/2011,136.523,seconds
"text=""actor"" AND channel=""FOX""",2/1/2011,132.63,seconds
"text=""actor"" AND channel=""FOX""",3/1/2011,219.5,seconds
"text=""actor"" AND channel=""FOX""",4/1/2011,79.335,seconds
"text=""actor"" AND channel=""FOX""",5/1/2011,101.644,seconds
"text=""actor"" AND channel=""FOX""",6/1/2011,118,seconds
"text=""actor"" AND channel=""FOX""",7/1/2011,71,seconds
"text=""actor"" AND channel=""FOX""",8/1/2011,84.866,seconds
"text=""actor"" AND channel=""FOX""",9/1/2011,99,seconds
"text=""actor"" AND channel=""FOX""",10/1/2011,12,seconds
"text=""actor"" AND channel=""FOX""",11/1/2011,123,seconds
"text=""actor"" AND channel=""FOX""",12/1/2011,98.778,seconds
"text=""actor"" AND channel=""FOX""",1/1/2012,94,seconds
"text=""actor"" AND channel=""FOX""",2/1/2012,171,seconds
"text=""actor"" AND channel=""FOX""",3/1/2012,110,seconds
