workerid,proliferate.condition,gender,gendered_morph,id,neutral_morh,orthog,response,scale,slide_number_in_experiment,error
72,Comprehensive,female,man_woman,Firefighter,neutral_compound,firewoman,7,MF,40,
72,Comprehensive,neutral,suffix,Villain,male_adoption,villain,4,MF,41,
72,Comprehensive,neutral,suffix,Host,male_adoption,host,4,MF,42,
67,Comprehensive,,,example1,,,6,,2,
67,Comprehensive,female,suffix,Villain,male_adoption,villainess,1,FM,4,
67,Comprehensive,female,boy_girl,Paper_carrier,neutral_compound,papergirl,1,FM,5,
67,Comprehensive,neutral,suffix,Flight_attendant,suppletion,flight attendant,2,FM,6,
67,Comprehensive,neutral,suffix,Actor,male_adoption,actor,5,FM,7,
67,Comprehensive,male,man_woman,Crewmember,neutral_compound,crewman,6,FM,8,
67,Comprehensive,male,man_woman,Foreperson,person_compound,foreman,4,FM,9,
67,Comprehensive,neutral,man_woman,God,male_adoption,god,5,FM,10,
67,Comprehensive,female,man_woman,Assemblyperson,person_compound,assemblywoman,1,FM,11,
67,Comprehensive,neutral,suffix,Usher,male_adoption,usher,4,FM,12,
67,Comprehensive,female,man_woman,Gentleperson,person_compound,gentlewoman,1,FM,13,
67,Comprehensive,male,man_woman,Layperson,person_compound,layman,4,FM,14,
67,Comprehensive,male,suffix,Hero,male_adoption,hero,4,FM,15,
67,Comprehensive,male,suffix,Hunter,male_adoption,hunter,4,FM,16,
67,Comprehensive,neutral,man_woman,Stunt_double,neutral_compound,stunt double,4,FM,17,
67,Comprehensive,neutral,man_woman,Maintenance_Person,person_compound,maintenance person,4,FM,18,
67,Comprehensive,neutral,gender_compound,Bartender,neutral_compound,bartender,4,FM,19,
67,Comprehensive,female,man_woman,Police_officer,neutral_compound,policewoman,1,FM,20,
67,Comprehensive,neutral,man_woman,Horseperson,person_compound,horseperson,4,FM,21,
67,Comprehensive,female,man_woman,Camera,neutral_compound,camerawoman,1,FM,22,
67,Comprehensive,male,gender_compound,Proprieter,suppletion,landlord,4,FM,23,
67,Comprehensive,neutral,boy_girl,Newsboy,male_adoption,newsboy,6,FM,24,
67,Comprehensive,male,man_woman,Salesperson,person_compound,salesman,4,FM,25,
67,Comprehensive,female,gender_compound,Headteacher,neutral_compound,headmistress,1,FM,26,
67,Comprehensive,female,man_woman,Chair,clipping,chairwoman,1,FM,27,
67,Comprehensive,neutral,suffix,Heir,male_adoption,heir,4,FM,28,
67,Comprehensive,male,man_woman,Craftsperson,person_compound,craftsman,4,FM,29,
67,Comprehensive,male,man_woman,Fisher,clipping,fisherman,5,FM,30,
67,Comprehensive,female,suffix,Emperor,male_adoption,empress,1,FM,31,
67,Comprehensive,neutral,man_woman,Congressperson,person_compound,congressperson,4,FM,32,
67,Comprehensive,male,man_woman,Businessperson,person_compound,businessman,5,FM,33,
67,Comprehensive,neutral,man_woman,Mail_Carrier,neutral_compound,mail carrier,4,FM,34,
67,Comprehensive,neutral,man_woman,Anchor,clipping,anchor,4,FM,35,
67,Comprehensive,female,man_woman,Firefighter,neutral_compound,firewoman,1,FM,36,
67,Comprehensive,female,suffix,Sorcerer,male_adoption,sroceress,1,FM,37,
67,Comprehensive,female,suffix,Host,male_adoption,hostess,1,FM,38,
67,Comprehensive,male,suffix,Restaurant_server,suppletion,waiter,4,FM,39,
67,Comprehensive,female,man_woman,Door_attendant,neutral_compound,doorwoman,1,FM,40,
67,Comprehensive,male,man_woman,Garbage_Collector,neutral_compound,garbageman,4,FM,41,
67,Comprehensive,male,man_woman,Meteorologist,suppletion,weatherman,5,FM,42,
96,Comprehensive,,,example1,,,5,,2,
96,Comprehensive,male,man_woman,Garbage_Collector,neutral_compound,garbageman,2,MF,4,
96,Comprehensive,neutral,suffix,Flight_attendant,suppletion,flight attendant,6,MF,5,
96,Comprehensive,female,man_woman,God,male_adoption,goddess,7,MF,6,
96,Comprehensive,female,man_woman,Layperson,person_compound,laywoman,5,MF,7,
96,Comprehensive,female,suffix,Villain,male_adoption,villainess,7,MF,8,
96,Comprehensive,male,boy_girl,Newsboy,male_adoption,newsboy,2,MF,9,
96,Comprehensive,female,man_woman,Crewmember,neutral_compound,crewwoman,7,MF,10,
96,Comprehensive,female,suffix,Emperor,male_adoption,empress,7,MF,11,
96,Comprehensive,neutral,man_woman,Maintenance_Person,person_compound,maintenance person,3,MF,12,
96,Comprehensive,neutral,man_woman,Gentleperson,person_compound,gentleperson,4,MF,13,
96,Comprehensive,female,man_woman,Horseperson,person_compound,horsewoman,7,MF,14,
96,Comprehensive,neutral,man_woman,Meteorologist,suppletion,meteorologist,4,MF,15,
