name,be,det,target,prep,state,pro,like,activity,question1,answer1,question2,answer2
Sally,is,a,congressperson,from,Wisconsin.,She,likes,swimming,Does Sally like to swim?,yes,Is Sally from California?,no
Sally,is,a,congresswoman,from,Wisconsin.,She,likes,swimming,Does Sally like to swim?,yes,Is Sally from California?,no
